,0,1,2,3
MIMAT0004593,-1.9642446248402745,-1.0806386262524952,-2.5998180404186346,-2.3639640908021824
MIMAT0018965,-4.748533421579521,-4.1646249343081685,-4.805671924100329,-3.9510291401929285
MIMAT0019871,-4.38196018973507,-4.420420664964174,-5.546827417077287,-4.599503282349145
MIMAT0019943,-3.205864755552093,-1.9671779774110072,-4.017986987216712,-4.034930416241643
MIMAT0022471,-4.161050477912752,-4.742989157408578,-4.625365071372555,-4.604795489329364
MIMAT0024598,-4.28640770854984,-5.395183304635992,-4.293759495129624,-3.889928810260438
MIMAT0002823,-4.733686424887489,-6.643856189774725,-6.02539048802514,-4.853126910871673
MIMAT0019845,-4.346756898511068,-3.4943162722698475,-3.345630322238948,-4.387710550539242
MIMAT0022258,-4.689344050073931,-4.742989157408578,-4.955135200920443,-4.412195286084899
MIMAT0025484,-3.8135389008357694,-4.430127938625018,-2.723910795997219,-3.4286123374789406
MIMAT0001541,-4.565764091268999,-4.704038184091933,-4.898887480720839,-4.764187563781099
MIMAT0019218,-4.308197690236006,-4.742989157408578,-4.443402628342901,-3.6529701124822287
MIMAT0015051,-4.329517853673505,-5.2594868365527425,-5.610467317904169,-3.8193556387114893
MIMAT0019748,-2.3907172065195788,-3.000323368810276,-2.0867236405081333,-3.005076940684421
MIMAT0027103,-2.3906363388757104,-2.901377513062754,-2.0437383731707848,-3.06537296794695
MIMAT0027649,-4.078102685337864,-4.2505759648490855,-4.598627521691772,-4.123170720771559
MIMAT0020959,-4.342365241462021,-3.2666236372910404,-4.043067836966027,-4.57039263633233
MIMAT0004695,-4.326615101284988,-4.333407422352936,-5.440975887585994,-4.323785179197427
MIMAT0019688,-4.28781853130488,-3.8290011509022532,-5.510843683953938,-4.071510642183362
MIMAT0018183,-2.8854818296147497,-2.358534321661936,-4.975434699936315,-2.6863190882050225
MIMAT0026479,-2.3640346121060043,-2.8950468043740587,-3.8885168512756865,-2.958725797530662
MIMAT0005885,-2.0708853218980345,-4.742989157408578,-1.8285346453824096,-1.521332657362554
MIMAT0022274,-4.625119371312959,-3.5135481724201334,-4.693869429289199,-5.337034574836559
MIMAT0003244,-4.586862188095079,-4.042879371498609,-4.308933970364723,-3.9956017401158332
MIMAT0021117,-2.916737719825808,-3.3401684926040476,-3.6686702676909384,-2.740684387283862
MIMAT0027650,-4.360024446629313,-3.150222634408908,-5.0465211306782365,-4.476895295744503
MIMAT0022280,-4.347564403479824,-3.3152940459870672,-4.747910605775881,-4.324389960016371
MIMAT0004928,-0.6460090329884859,-2.0016649874007495,0.2497185373082498,-0.05119836760642917
MIMAT0022838,-4.084502762884992,-3.7779337913976065,-4.184333564093038,-4.836152804081613
MIMAT0022482,-4.1048810953762525,-3.5135355458680477,-5.13463808251503,-4.863429275717361
MIMAT0022862,-1.8571708534400393,-1.3330682325955652,-3.0816780804742105,-2.004656699470871
MIMAT0022695,-2.078602232105286,-3.0746676105024475,-2.8441219322013724,-2.8469508142927595
MIMAT0026617,-4.445157445473165,-3.486584751063263,-4.208223800760083,-3.86526851562682
MIMAT0003336,-4.384330193992309,-3.140142113532071,-5.022109319533875,-3.894693321264033
MIMAT0022924,-4.0935715429849475,-1.963797534727424,-5.283706906433407,-4.784570429285564
MIMAT0022705,-1.9568332281080514,-1.9129506241373009,-2.8209026461127524,-1.949969861886073
MIMAT0011161,-2.087634387037133,-1.710230245822515,-3.252943006289894,-1.5499761278152207
MIMAT0018203,-4.52014064767549,-5.669093550102907,-5.477658774119879,-5.112407059347654
MIMAT0022257,-4.731648134519677,-5.507497956969018,-4.818464811792999,-4.648181700517746
MIMAT0019047,-4.546354453126944,-5.303435508448847,-5.118736406453139,-5.003236557280472
MIMAT0004548,-4.83709636646533,-6.643856189774725,-4.932334697531779,-5.120869808504812
MIMAT0004592,-1.447534551412902,-1.1477526498961999,-2.714460533932793,-1.6425040681414105
MIMAT0019911,-4.354882519751392,-3.3132176977992622,-4.94351961824532,-4.2448950992976595
MIMAT0004959,-4.454604905846635,-2.5118221113914454,-5.90313764368776,-4.567110720127895
MIMAT0014979,-1.5162053678718739,-3.002905282598815,-0.9128643797549402,-2.46492934753523
MIMAT0003235,-1.7067457934007872,-1.7735556986052394,-0.9325566272009527,-1.648376795726015
MIMAT0004772,-4.922404507384259,-3.093253366549355,-4.897424903459103,-5.114542738174856
MIMAT0018104,-4.510292320499978,-3.2840624321584686,-5.884204014565562,-4.14624078751079
MIMAT0015075,-4.360845216012542,-4.105787798290615,-5.352898433383523,-4.232036422152612
MIMAT0000273,-1.0857689743988133,-2.135383711568925,-1.93894884229075,-0.898246487405727
MIMAT0005943,-1.7890691230831157,-1.4068721222887268,-2.0715632544841296,-1.6303578882380216
MIMAT0019873,-1.9141569199745854,-2.1851672683979353,-2.7418938960395085,-2.573234376550624
MIMAT0028118,-4.477688103244687,-4.439639938562376,-4.834234109949322,-5.197223347005938
MIMAT0004953,-4.844958301881185,-4.31011714524915,-5.018700532126116,-5.134639409391267
MIMAT0019728,-1.7522802903497148,-4.579329377805423,-2.0612542535822698,-1.7229154153834234
MIMAT0026718,-1.979875376437945,-1.9150847055588784,-2.1653767739806016,-1.2828578297031117
MIMAT0026481,-1.9990677804968489,-1.2752141074059808,-1.8268821199534258,-2.5071426706063846
MIMAT0028122,-4.444668326413383,-4.415832251969855,-5.136503818720442,-5.254883280920803
MIMAT0005883,-4.900565596364961,-5.507497956969018,-4.785619642938181,-5.237007313357974
MIMAT0030421,-4.469519346716476,-3.2840624321584686,-5.658812841427631,-4.443473441467643
MIMAT0027463,-4.46858540881305,-5.717751797080396,-5.606393284770363,-4.869029231887422
MIMAT0017991,-1.8465729370226902,-1.1102991175254,-2.143702038026481,-1.648441918536744
MIMAT0001412,-1.6201155907792708,-3.981440811199105,-1.539118483826475,-1.6997112254302176
